Wert,Jahr,Primärenergieträger,Einheit
61.20807297277886,1937,Kohle,Anteil in %
18020,1937,Holz und Holzkohle,In TJ
12.94261294261294,1937,Holz und Holzkohle,Anteil in %
"""...""",1937,Fernwärme,In TJ
"""...""",1937,Fernwärme,Anteil in %
"""...""",1937,Abfälle,In TJ
"""...""",1937,Abfälle,Anteil in %
"""...""",1937,Übrige erneuerbare Energien,In TJ
"""...""",1937,Übrige erneuerbare Energien,Anteil in %
139980,1938,Primärenergieträger - Total,In TJ
100,1938,Primärenergieträger - Total,Anteil in %
6770,1938,Erdölbrennstoffe,In TJ
4.836405200742964,1938,Erdölbrennstoffe,Anteil in %
9150,1938,Treibstoffe,In TJ
6.536648092584655,1938,Treibstoffe,Anteil in %
16900,1938,Elektrizität,In TJ
12.07315330761537,1938,Elektrizität,Anteil in %
4020,1938,Gas,In TJ
2.87183883411916,1938,Gas,Anteil in %
85190,1938,Kohle,In TJ
60.85869409915702,1938,Kohle,Anteil in %
17950,1938,Holz und Holzkohle,In TJ
12.82326046578083,1938,Holz und Holzkohle,Anteil in %
"""...""",1938,Fernwärme,In TJ
"""...""",1938,Fernwärme,Anteil in %
"""...""",1938,Abfälle,In TJ
"""...""",1938,Abfälle,Anteil in %
"""...""",1938,Übrige erneuerbare Energien,In TJ
"""...""",1938,Übrige erneuerbare Energien,Anteil in %
143360,1939,Primärenergieträger - Total,In TJ
100,1939,Primärenergieträger - Total,Anteil in %
7700,1939,Erdölbrennstoffe,In TJ
5.37109375,1939,Erdölbrennstoffe,Anteil in %
8640,1939,Treibstoffe,In TJ
6.026785714285714,1939,Treibstoffe,Anteil in %
18390,1939,Elektrizität,In TJ
12.82784598214286,1939,Elektrizität,Anteil in %
4020,1939,Gas,In TJ
2.804129464285714,1939,Gas,Anteil in %
86450,1939,Kohle,In TJ
60.302734375,1939,Kohle,Anteil in %
18160,1939,Holz und Holzkohle,In TJ
12.66741071428571,1939,Holz und Holzkohle,Anteil in %
"""...""",1939,Fernwärme,In TJ
"""...""",1939,Fernwärme,Anteil in %
"""...""",1939,Abfälle,In TJ
"""...""",1939,Abfälle,Anteil in %
"""...""",1939,Übrige erneuerbare Energien,In TJ
"""...""",1939,Übrige erneuerbare Energien,Anteil in %
128050,1940,Primärenergieträger - Total,In TJ
100,1940,Primärenergieträger - Total,Anteil in %
4800,1940,Erdölbrennstoffe,In TJ
3.74853572823116,1940,Erdölbrennstoffe,Anteil in %
5760,1940,Treibstoffe,In TJ
4.498242873877392,1940,Treibstoffe,Anteil in %
19630,1940,Elektrizität,In TJ
15.32994923857868,1940,Elektrizität,Anteil in %
4240,1940,Gas,In TJ
3.311206559937524,1940,Gas,Anteil in %
70500,1940,Kohle,In TJ
55.05661850839516,1940,Kohle,Anteil in %
23120,1940,Holz und Holzkohle,In TJ
